POSSIBILITY,TUITION FEES BUDGET,OVERALL BUDGET,STATE,COLLEGE,UNIVESITY NAME,TYPE,YEAR,SEATS,OVERVIEW,WEBSITE,TUITION FEE,"HOSTEL CHARGES
P.A.",ANNUAL,ONE TIME,TUITION PACKAGE,GRAND TOTAL,TYPE,QUOTA,"OPENING RANK
2023","CLOSING RANK
2023",OPENING SCORE,CLOSING SCORE
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KARNATAKA,"ST JOHN MEDICAL COLLEGE,BANGALORE","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1963,150,"St. John's Medical College is a private medical college and hospital situated in Bangalore, India. It is part of the St. John's National Academy of Health Sciences run by the Catholic Bishops' Conference of India. It was established in 1963. The college annually accepts 150 students for the MBBS undergraduate course based on a national entrance exam. It also accepts 100 postgraduate students (80 MD & 20 Diploma) to a number of medical specialties. The college culfest Autumn Muse is one of the oldest and largest in South India.",https://www.stjohns.in/,"₹ 7,77,135.00","₹ 1,50,000.00","₹ 32,700.00",,"₹ 34,97,107.50","₹ 43,19,257.50",PRIVATE,OPN,3445,23705,610,666
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"EMC : MES MEDICAL COLLEGE, PERINTHALMANNA, MALAPPURAM.","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,150,"- The Muslim Educational Society (MES) has played a crucial role in transforming Muslim education in Kerala over the last five decades.
- It boasts over 20,000 active members, 80,000 students, and 15,000 staff members spread across Kerala, neighboring states, and the Middle East.
- MES operates a medical college recognized by the Ministry of Health and Family Welfare and affiliated with the Kerala University of Health Sciences.
- The college also has a dedicated research wing and an online medical trends portal called ""ANNNALS-MEDICUS.""
- A 500-bed teaching hospital with specialty and super-specialty departments, compliant with Medical Council of India guidelines, is attached to the college.
",https://mesams.com/,"₹ 7,34,852.21","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 33,06,834.95","₹ 42,96,834.95",PRIVATE,SM,31901,34527,591,595
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"MZM : MOUNT ZION MEDICAL COLLEGE, PATHANAMTHITTA.","Kerala University of Health Sciences, Thrissur, Kerala",Society,2014,150,"- The Mount Zion Medical College Hospital, Chayalode P.O., Adoor, Pathanamthitta, Kerala, was established by The Charitable Educational and Welfare Society (Reg No. Q373/84).
- The campus is located in a green, calm, quiet, and serene area, spread over 32 acres.
- The Medical College is about 8 kilometers away from Adoor and can be reached by road from Adoor or Pathanapuram.
- The Medical College is recognized by the Medical University and approved by the Government of Kerala.",https://www.mountzionmedicalcollege.com/,"₹ 7,39,527.86","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 33,27,875.37","₹ 43,17,875.37",PRIVATE,SM,63668,113996,495,550
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KARNATAKA,"SRI MADHUSUDAN SAI INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,MUDDENAHALLI,CHIKKABALLAPURA",Sri Sathya Sai University for Human Excellence,Trust,2023,50,"SMSIMSR is a distinct one-of-its-kind Institution in the world, as it teaches both (para vidya) spiritual knowledge and (apara vidya) worldly knowledge and need-of-the-hour in this world driven by commerce.
Since 2011 Sri Madhusudan Sai Institute of Medical Sciences and Research bringing respite to thousands of underprivileged children, through free education, free healthcare, and free nutrition for all as service.
This Medical College MBBS course is affiliated to Sri Sathya Sai University for Human Excellence, Karnataka and is accredited by the National Medical Commission (NMC).",https://sssuhe.ac.in/,₹ 750.00,"₹ 1,50,000.00","₹ 15,000.00",,"₹ 3,375.00","₹ 7,45,875.00",PRIVATE,OPN,23085,26753,604,610
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"KEMPEGOWDA INSTITUTE OF MEDICAL SCIENCES,B.S.K II STAGE,NEAR B D A COMPLEX,BANGALORE","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1980,150,"The Vokkaligara Sangha took a formal decision on 2nd September 1979 to start a Medical College from the year 1980-81 and applied for permission to the Registrar, Bangalore University. On 30th November 1980, Shri R Gundu Rao, the Honourable Chief Minister of Karnataka, laid the foundation stone of the Kempegowda Institute of Medical Sciences and Hospital in the premises of the Sangha and announced the grant of vacant land in Banashankari to be used for the construction of college building and hostels. Thereafter, the Sangha appointed Dr. M Basavaraju, Professor of Physiology as the Principal on 1st January 1981 and other staff by March 1981 and classes were started regularly from the 16th March 1981. Since then 16th March is observed every year as KIMS Day. The Silver Jubilee Celebrations of the Institute was held in the year 2006. A Magnificent college building to mark the centenary celebrations of the Vokkaligara Sangha and the Silver Jubilee of KIMS has been built at the Banashankari Campus.",https://www.kimsbangalore.edu.in/,"₹ 10,92,852.00","₹ 1,50,000.00","₹ 15,000.00",,"₹ 49,17,834.00","₹ 56,60,334.00",PRIVATE,OPN,14484,27498,602,629
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"KDM : P K DAS INSTITUTE OF MEDICAL SCIENCES, OTTAPALAM.","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2014,200,"- PK Das Institute of Medical Sciences is a state-of-the-art super-specialty medical college and hospital with over 750 beds.
- Founded by Late P. K. Das, a distinguished academician, industrialist, and philanthropist, the institute aims to provide world-class healthcare education and services.
- Part of the Nehru Group of Institutions, known for quality higher education in South India, PK Das Institute of Medical Sciences upholds a seal of medical excellence.
",https://pkdims.org/,"₹ 7,50,265.67","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 33,76,195.52","₹ 43,66,195.52",PRIVATE,SM,52307,100483,508,565
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"PMC : PUSHPAGIRI INSTITUTE OF MEDICAL SCIENCE, THIRUVALLA","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2002,100,"- Pushpagiri started as a small clinic in Cheru Pushpagiri Hills with 8 beds in 1959, providing maternity care to rural people around Tiruvalla by the Catholic Diocese of Tiruvalla.
- The Society took over Pushpagiri Hospital, which grew into a tertiary care medical college hospital.
- The teaching hospital of the Medical College is the Pushpagiri Medical College Hospital with 763 teaching beds.
- The hospital is under the administrative control of the Principal of the Medical College and managed by the Medical Superintendent.
 The hospital has fourteen operation theatres.",https://pimsrc.edu.in/,"₹ 8,09,487.04","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 36,42,691.68","₹ 46,32,691.68",PRIVATE,SM,29472,31022,596,599
NOT POSSIBLE,EXCEEDS BUDGET,UNDER BUDGET,KARNATAKA,"DR. B.R. AMBEDKAR MEDICAL COLLEGE,KADUGONDANAHALLI,BANGALORE","Rajiv Gandhi University of Health Sciences, Karnataka",Trust,1980,150,"Dr.B.R.Ambedkar Medical College (BRAMC) was established in the year 1981 in Bangalore and is run by Anandaa Social and Educational trust in Bangalore.
The Ananda Social and Educational is providing good education, which is the dream of SC and ST and underprivileged people.
This Educational Trust has a rich experience in the Medical education field, College and School of Nursing, College of Physiotherapy, Medical Laboratory Technology and Radiography, and Dental College.",https://www.bramc.edu.in/college,"₹ 10,92,852.00","₹ 1,50,000.00","₹ 15,000.00",,"₹ 49,17,834.00","₹ 56,60,334.00",PRIVATE,OPN,14484,32314,595,629
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"GMC : SREE GOKULAM MEDICAL COLLEGE, VENJARAMOODU, TVPM","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2005,150,#NAME?,https://www.sgmc.in/,"₹ 7,77,179.48","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 34,97,307.66","₹ 44,87,307.66",PRIVATE,SM,24506,44467,576,608
NOT POSSIBLE,UNDER BUDGET,UNDER BUDGET,KERELA,"SIM : SREE NARAYANA INSTITUTE OF MEDICAL SCIENCES, ERNAKULAM.","Kerala University of Health Sciences, Thrissur, Kerala",Trust,2009,150,#NAME?,https://snims.org/,"₹ 7,77,179.48","₹ 1,20,000.00","₹ 1,00,000.00",,"₹ 34,97,307.66","₹ 44,87,307.66",PRIVATE,SM,54165,94972,514,563
